iter	Passed	Remaining
0	0	55
1	1	51
2	1	48
3	1	45
4	2	44
5	2	45
6	3	46
7	3	45
8	4	44
9	4	44
10	5	44
11	6	44
12	6	43
13	7	43
14	7	42
15	7	41
16	8	41
17	8	40
18	9	40
19	10	40
20	10	39
21	10	38
22	11	38
23	12	38
24	12	37
25	13	37
26	13	37
27	14	36
28	14	36
29	15	35
30	15	35
31	16	35
32	17	34
33	17	34
34	18	33
35	18	33
36	19	33
37	19	32
38	20	32
39	21	31
40	21	31
41	21	30
42	22	29
43	22	29
44	23	28
45	23	28
46	24	27
47	24	26
48	25	26
49	25	25
50	26	25
51	27	25
52	28	24
53	28	24
54	29	23
55	29	23
56	30	22
57	30	22
58	31	21
59	31	21
60	32	20
61	33	20
62	33	19
63	34	19
64	34	18
65	35	18
66	36	17
67	36	17
68	37	16
69	37	16
70	38	15
71	38	15
72	39	14
73	39	13
74	40	13
75	40	12
76	41	12
77	42	11
78	42	11
79	43	10
80	44	10
81	44	9
82	45	9
83	45	8
84	46	8
85	46	7
86	47	7
87	47	6
88	48	5
89	48	5
90	49	4
91	50	4
92	50	3
93	51	3
94	52	2
95	52	2
96	53	1
97	54	1
98	54	0
99	55	0
